Date,Station,Value,lat,lng
2023-08-01,010 WEDDING,9,52.54291,13.34926
2023-08-02,010 WEDDING,10,52.54291,13.34926
2023-08-03,010 WEDDING,8,52.54291,13.34926
2023-08-04,010 WEDDING,14,52.54291,13.34926
2023-08-05,010 WEDDING,9,52.54291,13.34926
2023-08-06,010 WEDDING,13,52.54291,13.34926
2023-08-07,010 WEDDING,12,52.54291,13.34926
2023-08-08,010 WEDDING,12,52.54291,13.34926
2023-08-09,010 WEDDING,15,52.54291,13.34926
2023-08-10,010 WEDDING,20,52.54291,13.34926
2023-08-11,010 WEDDING,24,52.54291,13.34926
2023-08-12,010 WEDDING,17,52.54291,13.34926
2023-08-13,010 WEDDING,11,52.54291,13.34926
2023-08-14,010 WEDDING,19,52.54291,13.34926
2023-08-15,010 WEDDING,13,52.54291,13.34926
2023-08-16,010 WEDDING,9,52.54291,13.34926
2023-08-17,010 WEDDING,10,52.54291,13.34926
2023-08-18,010 WEDDING,10,52.54291,13.34926
2023-08-19,010 WEDDING,12,52.54291,13.34926
2023-08-20,010 WEDDING,12,52.54291,13.34926
2023-08-21,010 WEDDING,16,52.54291,13.34926
2023-08-22,010 WEDDING,15,52.54291,13.34926
2023-08-23,010 WEDDING,24,52.54291,13.34926
2023-08-24,010 WEDDING,20,52.54291,13.34926
2023-08-25,010 WEDDING,16,52.54291,13.34926
2023-08-26,010 WEDDING,16,52.54291,13.34926
2023-08-27,010 WEDDING,18,52.54291,13.34926
2023-08-28,010 WEDDING,16,52.54291,13.34926
2023-08-29,010 WEDDING,12,52.54291,13.34926
2023-08-30,010 WEDDING,19,52.54291,13.34926
2023-08-31,010 WEDDING,14,52.54291,13.34926
2023-09-01,010 WEDDING,20,52.54291,13.34926
2023-09-02,010 WEDDING,24,52.54291,13.34926
2023-09-03,010 WEDDING,13,52.54291,13.34926
2023-09-04,010 WEDDING,28,52.54291,13.34926
2023-09-05,010 WEDDING,23,52.54291,13.34926
2023-09-06,010 WEDDING,28,52.54291,13.34926
2023-09-07,010 WEDDING,18,52.54291,13.34926
2023-09-08,010 WEDDING,19,52.54291,13.34926
2023-09-09,010 WEDDING,19,52.54291,13.34926
2023-09-10,010 WEDDING,31,52.54291,13.34926
2023-09-11,010 WEDDING,40,52.54291,13.34926
2023-09-12,010 WEDDING,28,52.54291,13.34926
2023-09-13,010 WEDDING,16,52.54291,13.34926
2023-09-14,010 WEDDING,19,52.54291,13.34926
2023-09-15,010 WEDDING,17,52.54291,13.34926
2023-09-16,010 WEDDING,16,52.54291,13.34926
2023-09-17,010 WEDDING,21,52.54291,13.34926
2023-09-18,010 WEDDING,16,52.54291,13.34926
2023-09-19,010 WEDDING,12,52.54291,13.34926
2023-09-20,010 WEDDING,16,52.54291,13.34926
2023-09-21,010 WEDDING,24,52.54291,13.34926
2023-09-22,010 WEDDING,19,52.54291,13.34926
2023-09-23,010 WEDDING,12,52.54291,13.34926
2023-09-24,010 WEDDING,15,52.54291,13.34926
2023-09-25,010 WEDDING,18,52.54291,13.34926
2023-09-26,010 WEDDING,22,52.54291,13.34926
2023-09-27,010 WEDDING,29,52.54291,13.34926
2023-09-28,010 WEDDING,35,52.54291,13.34926
2023-09-29,010 WEDDING,38,52.54291,13.34926
2023-09-30,010 WEDDING,16,52.54291,13.34926
2023-10-01,010 WEDDING,16,52.54291,13.34926
2023-10-02,010 WEDDING,26,52.54291,13.34926
2023-10-03,010 WEDDING,11,52.54291,13.34926
2023-10-04,010 WEDDING,14,52.54291,13.34926
2023-10-05,010 WEDDING,17,52.54291,13.34926
2023-10-06,010 WEDDING,15,52.54291,13.34926
2023-10-07,010 WEDDING,10,52.54291,13.34926
2023-10-08,010 WEDDING,13,52.54291,13.34926
2023-10-09,010 WEDDING,21,52.54291,13.34926
2023-10-10,010 WEDDING,21,52.54291,13.34926
2023-10-11,010 WEDDING,22,52.54291,13.34926
2023-10-12,010 WEDDING,20,52.54291,13.34926
2023-10-13,010 WEDDING,15,52.54291,13.34926
2023-10-14,010 WEDDING,13,52.54291,13.34926
2023-10-15,010 WEDDING,12,52.54291,13.34926
2023-10-16,010 WEDDING,23,52.54291,13.34926
2023-10-17,010 WEDDING,33,52.54291,13.34926
2023-10-18,010 WEDDING,27,52.54291,13.34926
